"caminho","bytes","classificacao","justificativa","sha256"
"_deploy/src/server/asaas.central.ts","6810","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","71ed545b0c8b1a4aba377540f0ec2890398e9425b4d6bbce80944487a5fc659b"
"_deploy/src/server/asaas.service.ts","10913","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","540d44e33a2e78b897c0f20cf5d79dbedfb0b03c020c47b92e7053649a58e59d"
"_deploy/src/server/financial.calc.ts","3784","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","6910d7cc1c1473da90b5fd4096a51f286bb9d5086fa831becb4f849a96e27ca5"
"_deploy/src/server/financial.ledger.ts","10485","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","c5211a396b59f93004ad63c23dafc425779acfc3fcd1b4c3bf0cccfc425e2445"
"_deploy/src/server/order.lifecycle.ts","15205","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","3508980ab7dbb9365bc4eb71e577bee7d59d220b46afdace684ee01005fa4a95"
"_deploy/src/server/order-status.service.ts","7277","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","589854d095dd740d4d92990a351ad45c0f41c96a0354e7f9e3e058a2baefbcec"
"_deploy/src/server/payment.escrow.ts","2365","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","9fc395ec78dbf405e17b9b48cdfd5a913ffefc47b38fce400e0b32de8d57b025"
"_deploy/src/server/refund.service.ts","10002","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","00139dd220d7c2ead859c562c27b2949df15ffa62a80b87fa9c8afff9747debc"
"_deploy/src/server/transfer.service.ts","13351","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","829d1958af630ba12acc835aabfa9aeedd4bbbe1a6faa1a355711d86ade47810"
"_port/asaas.central.service.ts","12651","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","cd1582741d3b332136c38458b86870de96cc00f55ca4ea195ce0c14deac94ad0"
"_port/asaas.functions.ts","178","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","e27be4657eac140567cbe6d8f592ce0e6fe01e9e15c2f0a1bf03bdaf18d2c8fa"
"_port/asaas.service.ts","10913","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","540d44e33a2e78b897c0f20cf5d79dbedfb0b03c020c47b92e7053649a58e59d"
"_port/db.ts","4985","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","a1a288531fb7486d6d197dd5e6ed928d446f5b814af6692251b1289217c8e91a"
"_port/env.ts","2665","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","8ccdf55e6ea84a33289ad0f0fc902d1c18bdea262526ea511a4b3460cc197dd7"
"_port/functions.ts","10696","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","445e13c5e9e28a39bbaae445a2f6bf5a7501c089a303887cf764576a5739406f"
"_port/order.functions.ts","20238","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","2f0a37ccd12395c8788949200325bd3efd0812440cbf222aac3c6b8b82aa7cf4"
"_port/order-status.service.ts","7277","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","589854d095dd740d4d92990a351ad45c0f41c96a0354e7f9e3e058a2baefbcec"
"_port/payment-gateways.ts","4524","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","2af7486a9df0a0e49b5e1a50b89dc7deb0ff21bca0e56b825bcfb9bf86218bd6"
"_port/pix.ts","1860","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","318be9f054ae5ebf3f5752c5c82830ed3ae277d59c0c2cd8da15cb3bf4275494"
"_port/query.ts","31473","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","d24d8654d0ccf12ea10eb444ca25c53ef76a6d9276e4245843fdc933c13228d4"
"_port/webhooks.ts","13419","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","b982bb003ca746502b2d1f6c27407c45dc3732a46c76e4affe74f2d92e446f82"
"APPLY_NOW.md","5573","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","815d632c000ed3ff09a26c59780f4209602bd9995839af915921c3f88880b808"
"artifacts/ARCH_NOTES.md","3432","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","172ad46f1395afed449111a1b3851c1412bb9565b61d54e585fc8cc6ab5a1954"
"artifacts/asaas_env.txt","369","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","37043dbc07fc0e9ccd5d82484bb953adcf325e12b77d2c4203bfc1c44e192e0a"
"artifacts/cmp.txt","426","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","f28966af6ac6e4bd73c7951ad40c176b6c5e78034a8bc247e471be5d9644dd22"
"artifacts/code_asaas.txt","20144","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","66731a066edaa2f358fb18d60f82bc474ec0e7af0295768b01e8c590bb112f26"
"artifacts/code_checkout.txt","99930","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","c0df820350a67bad8a6ef200b080f69f22795dba851b306a4cab4dc624982a5d"
"artifacts/code_fn.txt","21005","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","4772105373cf409b9d18bbd8a2c4bcc3b46f3fe53dafbd37bf6f08a5798a009a"
"artifacts/code_infra.txt","31328","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","b14c7611d7ea858cdfaf488e244eaa8a987db0c3b9065ba61790a456f494bd9b"
"artifacts/code_orders.txt","30250","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","dc2f6c98d5aa530fe3d8c72c8b602a31ce3828adfb13d3c5089ee2a22f6ee001"
"artifacts/deploy.txt","12","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","9498247797954b2586ae95a484ca6daf73d211403050115c746a45e7d2cc0cd9"
"artifacts/disc2.txt","819","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","9d22ad1cd1c923591c9c432d7ac6a17bf2ff8b8c7f9849fa9403b64990e475fa"
"artifacts/discovery.txt","17371","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","5af0a094d68a63034a1b9d3fef58569882ea2bb73a60b4d86da62fa58f55590f"
"artifacts/envwire.txt","2450","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","ae5110bb9c35a480dd4bfd6b0567ce554451e0ba210518f1b4ed009393088bc6"
"artifacts/fix_b64.txt","1824","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","fa5175cd3812014053bc91954292955d4331ce95e7c35d03e08284a65f77dc5c"
"artifacts/hero.txt","1850","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","6739e8942e0ba8e252ad6ca27a21aad80a6403211760b412253d5cc6a5938d18"
"artifacts/inspect.txt","734","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","72af3cabff144fec72e6f43af3b55d2a9ec44cef5f38ffa05c4428e5628e2d97"
"artifacts/migrate_out.txt","635","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","8cc80d2409f824e392b85e183cb141e1761e5b7b4b39a6b917911886ebba62b6"
"artifacts/migrate_out2.txt","844","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","2a91209decd65afa65993fc6c5d892edbd4cdd968f219d028d1957371732b221"
"artifacts/prep.txt","961","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","31a7858050b83adac685e9df6484e49521c6d46ef361f0553dc2761966365078"
"artifacts/prod-footer-contact.json","607","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","855632e2853a14be92540f506a66b1c5d4179149549444b0973d04c2c1db9c98"
"artifacts/prod-footer-contact.png","262541","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","d276cdaa3da0e0e09da2a973f5ba482943bda12ae61221a9ce275d9bf9fda081"
"artifacts/prod-light-home-check.png","74080","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","9b443d26777660ed92c122315c57e0f85c5e7cc4af60b6af83f3d2d4ce5626f1"
"artifacts/prod-light-lojas-check.png","74080","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","9b443d26777660ed92c122315c57e0f85c5e7cc4af60b6af83f3d2d4ce5626f1"
"artifacts/revert.txt","1461","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","571c7cceb57744f6d3dea135a0b2e6c59719abaf7b361ad213e8fc94e1969a96"
"artifacts/subscription-admin-vite.stderr.log","0","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"artifacts/subscription-admin-vite.stdout.log","869","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","408527e025f80dc2829e15e064bc419ffe1d575dace650fe8132c0f8a1572727"
"artifacts/typecheck.txt","320","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","22f158267db6d9470696e9f0bfea0f8172229ecd430a7c917963ed642119dc9c"
"artifacts/typecheck2.txt","607","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","5bb34adeece5e237128c65c1a9149500588ace37a47c98a7b1c54483ac8ceeee"
"artifacts/typecheck3.txt","1898","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","0af25e025c9482cf906ab66406416934842ae130b9109bb6856f8eabd323f535"
"artifacts/typecheck4.txt","1898","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","907cd80cf2303aef5d52f662e3562b74491499554be7910ca3a0b4faa83eb3c8"
"artifacts/ui-check-results.json","940","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","f2186b43728d1f64a9b9d2cca333838de0da0e2d0c5e8252337b0da11e90bed0"
"artifacts/ui-dark-admin-entrar.png","25137","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","78dac5734fb80a51eea4e27b0d8530d3eeaa57d5985fe6dbb668a16e82c16882"
"artifacts/ui-dark-entrar.png","30717","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","1da603d041896a97950d2632a0157bf0559797f777875e447534b73ea7cdb454"
"artifacts/ui-dark-lojas.png","4080","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","eb11a2fc96df043f3ec88630a1fd248f5b15ad0f21fcdc7b89d9266593ec99d0"
"artifacts/ui-dark-lojista-entrar.png","35490","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","588fa5af1bfab852a0f3460f6d7d3123319ea51680de6a4b5a4e82ee97b9c783"
"artifacts/ui-final-dark-admin-entrar-mobile.png","24681","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","2aea7a94d1ad26eda9fe74ced627345cd91659816606f90b81e5aff9f5de7973"
"artifacts/ui-final-dark-entrar-mobile.png","30717","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","1da603d041896a97950d2632a0157bf0559797f777875e447534b73ea7cdb454"
"artifacts/ui-final-dark-home-mobile.png","124833","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","14b4b21478abc3a623a56df94a0ac28aa69d8619b0c1fde1600c662ea2b28dcc"
"artifacts/ui-final-dark-lojas-desktop.png","171604","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","d7936b8291b172084463a80e3b11c9526ca955b05c6b351a4b70e0e24925555b"
"artifacts/ui-final-dark-lojas-mobile.png","121880","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","c76cc002e35254c5444434e967d03159f3199f4d346036bd1e69318aab978604"
"artifacts/ui-final-dark-lojista-entrar-mobile.png","35490","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","588fa5af1bfab852a0f3460f6d7d3123319ea51680de6a4b5a4e82ee97b9c783"
"artifacts/ui-final-light-admin-entrar-mobile.png","28198","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","daa7812547a62e2c5ef6c5afbb8b4450c8a7e9455b2b6ddccac235b5daa4abc0"
"artifacts/ui-final-light-entrar-mobile.png","32786","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","888718c375ee80a95737774f35e7b98f114cc4a346128d611354f88cc530de6b"
"artifacts/ui-final-light-home-mobile.png","129663","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","dc81879bfc98928126e3cbfdcc11108ceedaaa9c89d1ea06472f3c0634b2e13a"
"artifacts/ui-final-light-lojas-desktop.png","179196","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","98652147ec7c87c5bc9b6577bb335b2df4fcdf8ac476883d93bbd83f88e2eb97"
"artifacts/ui-final-light-lojas-mobile.png","128619","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","769d22a4745ebf5cfe3496cc6cce4b7964cbf498cd768f3586d20d54a96e8b05"
"artifacts/ui-final-light-lojista-entrar-mobile.png","37995","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","aa2f0fc8a67021d939c414e600e460a268638ea4e837f9af35097ab8eaef56cd"
"artifacts/ui-final-results.json","8558","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","cbd1ff0622ba74a31dda7b8a5d2e8c31cce1ef1f42aba9dec4672ef86acf9477"
"artifacts/ui-light-admin-entrar.png","28016","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","e0bb3eb223a687c08bda7241ffc0a662861a97b18be26071c101f8435c31f405"
"artifacts/ui-light-entrar.png","32786","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","888718c375ee80a95737774f35e7b98f114cc4a346128d611354f88cc530de6b"
"artifacts/ui-light-lojas.png","2740","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","cdd2932fc4b42c8537d9e9eb98a09148ad8c9400577266df93f65506f6a1c67f"
"artifacts/ui-light-lojista-entrar.png","37995","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","aa2f0fc8a67021d939c414e600e460a268638ea4e837f9af35097ab8eaef56cd"
"artifacts/ui-production-results.json","2580","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","000b3c4422ed8245ccaa90653e3b0ca9ac32c1f5c6d1e434b19c94f4b1363b38"
"artifacts/ui-ready-dark-admin-entrar.png","25137","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","78dac5734fb80a51eea4e27b0d8530d3eeaa57d5985fe6dbb668a16e82c16882"
"artifacts/ui-ready-dark-entrar.png","30717","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","1da603d041896a97950d2632a0157bf0559797f777875e447534b73ea7cdb454"
"artifacts/ui-ready-dark-lojas.png","113192","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","63e3b14f44e1ec303f4b9e491115016231f4ba1a95640f438365a1f2a616a0c9"
"artifacts/ui-ready-dark-lojista-entrar.png","35490","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","588fa5af1bfab852a0f3460f6d7d3123319ea51680de6a4b5a4e82ee97b9c783"
"artifacts/ui-ready-light-admin-entrar.png","28016","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","e0bb3eb223a687c08bda7241ffc0a662861a97b18be26071c101f8435c31f405"
"artifacts/ui-ready-light-admin-entrar-fixed.png","28198","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","daa7812547a62e2c5ef6c5afbb8b4450c8a7e9455b2b6ddccac235b5daa4abc0"
"artifacts/ui-ready-light-entrar.png","32786","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","888718c375ee80a95737774f35e7b98f114cc4a346128d611354f88cc530de6b"
"artifacts/ui-ready-light-lojas.png","125314","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","74ee6fc3c8726de2194a4136b1ae90843663bc13dd6b122251755f42514a98e0"
"artifacts/ui-ready-light-lojista-entrar.png","37995","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","aa2f0fc8a67021d939c414e600e460a268638ea4e837f9af35097ab8eaef56cd"
"artifacts/ui-ready-results.json","1254","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","95a8401be6fec5444189dce796eb777ea8a362221228b9ca98147a60415deb30"
"artifacts/vitest_calc.txt","467","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","17b241c6a5b016580f708ffcf3c5f17d4a0abcadcb8d8f451b8fac4912fc8f85"
"artifacts/webhook_disc.txt","1936","duplicado","Copia, evidencia antiga ou residuo operacional sem dependencia no runtime nativo.","d45e1c47bc394c89c72f39f3015a14f41ca96e7d455ba8423677c1962e2dfec4"
"asaas_b.txt","140","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","3bb78d8918f94f5c84125236d90b6baaf982068c1e73e892fe74637a5bac2842"
"AUDIT_FIX_REPORT.md","11804","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","807cac8a8cbb64fa9ed2e72e3c394829abc4013e01459502fcda52e2ba325b17"
"AUDIT_SUBSCRIPTIONS.md","101566","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","ee11ae1e1bd38d83577bd4bf69c8b0b3189a8b24261d25a252ed1652de067da9"
"checkout_fix.py","1368","nao_utilizado","Sem referencia no grafo ativo do cliente nativo, servidor, build ou testes mantidos.","743a33326150d4fbcca8013ccf36f2f6023e34eb6af4b0c1b42379ef9bdd49fc"
"claude-cookbooks-main/.claude/agents/code-reviewer.md","10014","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","cca9d1d7f8831a8676c9a9fe7b017f904d66335cc5c5c93a2ea9cb62c11f0488"
"claude-cookbooks-main/.claude/commands/add-registry.md","2468","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","602e2db272ffa859054154f2314b2c2569acd3b46d99a993f78f4d5a9674470d"
"claude-cookbooks-main/.claude/commands/link-review.md","1477","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","268e57ae11ce3d99624394d76c1ebdfcdbe9f99d76d2b7ebfaf1414be4e7116e"
"claude-cookbooks-main/.claude/commands/model-check.md","906","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","fa169bfa0f91d211fc30f849921ccbff150ff73034caa51ddd07cb2ae321d2c5"
"claude-cookbooks-main/.claude/commands/notebook-review.md","673","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","0beebefe02b195dddda7c0e17a0e098a9ef9a9ed63eb20fbcc54daec4fb6a526"
"claude-cookbooks-main/.claude/commands/review-issue.md","6831","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","730c96ff54745b11a15b139bfdabcaba10d1c7250faf9d79bb2eecd8df7d216f"
"claude-cookbooks-main/.claude/commands/review-pr.md","2936","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","2e6578f10177baa50ffe80aafdb925d9cf2d8afb148933e14914872df879eb18"
"claude-cookbooks-main/.claude/commands/review-pr-ci.md","2850","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","e03a3e08f5ba826679a3124e90b71dda6dcf242fd984336b8accd6761b2fd6d0"
"claude-cookbooks-main/.claude/skills/cookbook-audit/.gitignore","75","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","3f8483f09ba5218ab0d4d9fb2c9adc445c19e8f736000f77c00efd321751948c"
"claude-cookbooks-main/.claude/skills/cookbook-audit/SKILL.md","12334","nao_utilizado","Material terceiro sem import, rota ou participacao no build da aplicacao.","63b4c68ffe7ea6c95b13ab008d58224651a5c63d3559ae4e58ec317f72a16258"
